# APOGEE_ID,NVISITS,SNR,J,J_ERR,H,H_ERR,K,K_ERR,AK,AK_SRC,RA,DEC,GLON,GLAT,PMRA,PMDEC,PM_SRC,TEFF,TEFF_ERR,LOGG,LOGG_ERR,FE_H,FE_H_ERR,SPARAMTYPE,STARTYPE,MSTAR,MSTAR_ERR,RSTAR,RSTAR_ERR,DIST,DIST_ERR,MSTAR_SRC,VJITTER,BASELINE,SIGMA_V,SIG_RVVAR,PERIOD,PERIOD_ERR,SEMIAMP,SEMIAMP_ERR,ECC,ECC_ERR,OMEGA,T0,TPERI,V0,SLOPE,NITER,CHI2,DOF,FIT_RMS,PUI,VUI,MASSFN,MSINI,SEMIMAJ,
2M00110648+6609349,12,112.226,14.027,0.028,12.92,0.034,12.474,0.028,0.54162,RJCE_WISE_OPS    ,2.777008,66.159721,118.866239428,3.60698843699,0,0,none                ,4782.99,91.4667,2.26001,0.106893,-0.370823,0.0401821,1,RG ,0.923444,0.427407,0.0548711,0.0107539,5277.16,865.159,3,84.5306,410.895,164.638496399,18.8628635406,244.535639881,4.85101489004,5132.24854868,2747.07176512,0.661045940954,0.213551771249,-1.60186234448,2456020.48119,2456138.30599,-26572.5897816,0,12,17.4621629771,7,208.121771703,0.740283191204,0.774855792522,0.00144700831529,0.116063608774,0.688696214995,
2M00114326+7112562,11,91.8765,14.034,0.031,13.249,0.04,13.025,0.035,0.318545,RJCE_WISE_PARTSKY,2.930279,71.21563,119.712815998,8.59268577515,-4,-6,NOMAD               ,4597.61,91.4667,3.22628,0.106893,-0.534219,0.0400219,1,RG ,1.25194,0.394387,0.0210037,0.00206483,2827.35,119.86,3,21.8551,407.779,281.692687988,140.206893921,25.5561050785,0.0533879412752,41817.5234878,1912.22819186,0.18883809035,0.0478491578275,2.33427241895,2455864.52549,2455866.67117,13573652.5203,-5.56069251214,16,4.91201318731,5,297.555829919,0.686498463154,0.939873933792,0.183373713514,0.966303676428,0.12498009203,
2M00225114+6202031,12,110.708,13.894,0.023,13.279,0.032,13.034,0.029,0.216648,RJCE_WISE_OPS    ,5.713117,62.034195,119.587232774,-0.651633906891,0,0,NOMAD               ,4444.7,91.5,4.53759,0.11,-0.12926,0.05,2,MS ,0.659883,0.0422325,0.00330267,0.000105685,472.313,259.267,0,3.48589,400.853,213.326377869,11.0533180237,20.218648296,0.0339936800679,1958.35221354,0,0.842250275416,0.045031962645,0.605557699442,2455842.3917,2455842.22458,-28783697.7669,11.7110585835,13,8.17767641083,6,159.517649004,0.946632027626,0.529876172543,2.46503155377e-06,0.0103455939675,0.125145448745,
2M00230781+6635311,12,107.455,14.01,0.026,13.29,0.033,13.012,0.028,0.326808,RJCE_WISE_OPS    ,5.782579,66.591995,120.120022217,3.87506286823,0,0,NOMAD               ,5158.02,91.4667,3.43169,0.106893,0.132665,0.0361381,1,RG ,2.25146,1.15038,0.0222347,0.00497789,3134.44,202.272,3,16.3934,410.895,160.638206482,6.06006383896,49.5623712524,0.199274822939,2441.77959459,1644.24065561,0.762398839637,0.157842951562,-2.00119938099,2455879.59123,2455890.61432,-525660.163973,0.205882645474,18,17.4478921547,6,194.656104751,0.927364647388,0.812822043896,2.0259218376e-05,0.0474852743897,0.341305011366,
2M00241366+5907430,12,172.192,13.432,0.029,12.619,0.032,12.353,0.022,0.263467,RJCE_WISE_ALLSKY ,6.056927,59.128628,119.440744679,-3.55841307051,-6,-2,NOMAD               ,4632.1,91.4667,2.24952,0.106893,-0.554713,0.0391362,1,RG ,1.34544,0.404444,0.0670373,0.00578454,6827.54,151.61,3,85.7814,350.989,105.835723877,36.1379776001,199.301003886,3.77228328146,4067.56996231,66.481534244,0.1258937029,0.0497744027828,-2.35164741114,2455988.50259,2456057.36982,-171013.516558,0,17,11.5790656006,7,111.561434241,0.789539635181,0.723109722137,0.00135684155283,0.144409880567,0.688722196535,
2M00283822+5833027,12,136.301,13.399,0.023,12.8,0.029,12.656,0.023,0.0844561,RJCE_WISE_ALLSKY ,7.159273,58.55077,119.953478679,-4.18892183731,40,2,NOMAD               ,4928.7,91.5,4.51909,0.11,0.18498,0.05,2,MS ,0.844387,0.0540408,0.00382219,0.00012231,525.967,710.69,0,3.57734,350.989,130.830818176,10.1188573837,86.5190011984,0.710899683143,967.272460938,0,0.699342777578,0.209737932756,-0.704758887635,2455904.32572,2455893.58144,-13446291.0809,5.47932162032,9,2.397535393,6,71.5514052624,0.871971666813,0.866014778614,2.96284552508e-06,0.0129620720962,0.35818403292,
2M00283971+8530377,9,216.249,12.221,0.029,11.708,0.032,11.589,0.021,0.0367201,WISE             ,7.16548,85.51049,122.449730442,22.660234225,-6.09,3.59,N188                ,4882.45,91.4667,3.31273,0.106893,0.0954517,0.0325849,1,RG ,1.22833,0.820718,0.0188337,0.00584946,1522.3,157.933,3,19.3638,840.63,64.2399673462,3.02063632011,41.2650486238,0.0675209269654,285.662711743,33.248248707,0.565649175705,0.0855404358881,-0.273599712598,2455829.14356,2455824.6486,-48908.564323,0,12,0.572662556181,4,16.9548967518,0.885946393013,0.737340271473,5.58943327668e-08,0.00439574007151,0.249683722148,
2M00293898+6641295,12,96.5458,14.168,0.039,13.234,0.037,12.819,0.023,0.549882,RJCE_WISE_OPS    ,7.412421,66.691551,120.774331682,3.91126546698,0,0,NOMAD               ,4630.1,91.4667,2.41843,0.106893,-0.569554,0.040541,1,RG ,1.35207,0.408028,0.0553257,0.00483043,6121.41,145.746,3,67.7171,410.895,276.551597595,23.7250385284,43.6527105313,0.154586195888,8733.87658492,212.607587884,0.120980777681,0.0307365218931,2.02870133712,2455881.47677,2455883.97175,21557432.3919,-8.82000321228,14,7.94929611492,6,255.022360695,0.936091959476,0.915286362171,0.00294746916419,0.191498275288,0.245613494688,
2M00295684+6356284,12,113.921,13.967,0.024,12.89,0.033,12.481,0.029,0.53703,RJCE_WISE_OPS    ,7.486841,63.941235,120.574056333,1.16805752313,0,0,none                ,5115.56,91.4667,3.08679,0.106893,-0.170303,0.0386765,1,RG ,2.1906,0.993817,0.0326234,0.00621646,3274.47,157.322,3,26.5679,400.853,122.575325012,10.1401090622,94.0011992444,0.734785767686,2105.0768696,221.544930477,0.441890758489,0.0767737763303,1.53798458861,2455883.13508,2455882.96461,-111694.793609,0,14,6.55122920022,7,105.165697314,0.896135687828,0.883806586266,6.55898633594e-05,0.0694523688812,0.514641380122,
2M00301928+6648359,11,120.648,14.12,0.024,12.989,0.032,12.533,0.028,0.621486,RJCE_WISE_OPS    ,7.580366,66.809982,120.850451801,4.02375616464,0,0,none                ,5011.42,91.4667,2.82583,0.106893,-0.379957,0.0407318,1,RG ,1.17413,0.448123,0.032254,0.00470421,3163.94,340.307,3,38.2834,410.895,161.277755737,2.91103410721,18.2208432361,0.0269330304595,713.47071076,1029.29594909,0.460341090519,0.443723528963,-1.77687977018,2455863.47799,2455871.16977,-6035987.5013,2.41062798961,15,2.81532432884,5,148.528871859,0.835852503777,0.848531842232,4.79710804761e-07,0.0087554210769,0.142256422014,
